case,barrier,gamma,quantum_steps,seeds,classical_cold_successes,classical_cold_success_rate,classical_cold_ci_low,classical_cold_ci_high,classical_cold_first_hit,classical_cold_wall_sec,classical_hot_successes,classical_hot_success_rate,classical_hot_ci_low,classical_hot_ci_high,classical_hot_first_hit,classical_hot_wall_sec,quantum_peak_awe_dominant,quantum_first_hit_step,quantum_wall_sec,quantum_final_energy
B8,-8.0,4.0,300,200,0,0.0,0.0,0.018846005918320894,,13.183725899987621,200,1.0,0.9811539940816791,1.0,48.2,12.820182299998123,0.4097463729328967,0,17.415917200007243,-0.8730036335590272
B10,-10.0,5.0,400,200,0,0.0,0.0,0.018846005918320894,,12.985927900008392,200,1.0,0.9811539940816791,1.0,57.085,12.907554600009462,0.40765458776959607,0,22.914539400022477,-0.8939715460280205
B12,-12.0,6.0,500,200,0,0.0,0.0,0.018846005918320894,,14.192680900014238,200,1.0,0.9811539940816791,1.0,62.715,15.788400899997214,0.4092312248962938,0,26.171830100007355,-0.9008397584584801
