case,barrier,gamma,quantum_steps,classical_cold_success_rate,classical_cold_first_hit,classical_cold_wall_sec,classical_hot_success_rate,classical_hot_first_hit,classical_hot_wall_sec,quantum_peak_awe_dominant,quantum_first_hit_step,quantum_wall_sec,quantum_final_energy
B8,-8.0,4.0,300,0.0,,1.0413173999404535,1.0,38.375,1.1247729000169784,0.4097463729328967,0,18.35009009996429,-0.8730036335590272
B10,-10.0,5.0,400,0.0,,1.0398458000272512,1.0,48.125,1.172197000007145,0.40765458776959607,0,24.107530399924144,-0.8939715460280205
B12,-12.0,6.0,500,0.0,,1.0073759999359027,1.0,48.0,1.0475284999702126,0.4092312248962938,0,28.597124899970368,-0.9008397584584801
